timestamp_ms,session_id,node_id_hex,protocol,frequency_mhz,config_index,rssi_dbm,snr_db,length_bytes,packet_type,encrypted,psk_result,psk_id,lat_deg,lon_deg,alt_m,hop_count,is_router,power_class,raw_hex
212261,snf_6236,0xF2B4C900,MeshCore,910.525,26,-118.0,-3.2,127,unknown,1,none,,,,,,0,0,1200C9B4F226ECD18FDE94E5788726DD09E791954898EDFE7FA44F87C1C9FC5AA9A9D7FDD369184B7792BE0C2107936132613E18001594080190DEBB982AFC0CFD8B553F2426DC9F98AD187B62D74C70E055FA6E3A9577DC13D2D3C75F890C009D76DE888C009254E12302E2C449FB5461726865656C204261636B6861756C
243434,snf_6236,0x000000AF,MeshCore,910.525,26,-122.0,-6.8,24,unknown,1,none,,,,,,0,0,0102AFC98FAC1ADF3B45740A912EE0B408497AF14E857EE5
526490,snf_6236,0x00000002,MeshCore,910.525,26,-122.0,-7.5,25,unknown,1,none,,,,,,0,0,0503029FC9F391DDEA5BC3FE4D354C1591B678A93D5E564999
534033,snf_6236,0x00000002,MeshCore,910.525,26,-121.0,-5.8,25,unknown,1,none,,,,,,0,0,0503029FC9F3914418530102221E44A2AE647F0FCDBF8AAE2F
